Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;44;637;474,5;7632;5685,1;20;*14,9;438;326,3
Anjou;17;251;586,5;2502;5846,3;< 5;n.p.;65;151,9
Baie D'urfé;0;< 5;n.p.;67;1752,6;0;;< 5;n.p.
Beaconsfield;< 5;34;* 175,9;330;1707,7;< 5;n.p.;17;* 88
Côte-des-Neiges–Notre-Dame-de-Grâce;45;655;393,3;8436;5066,1;< 5;n.p.;329;197,6
Côte-Saint-Luc;< 5;73;225;1924;5929,5;< 5;n.p.;104;320,5
Dollard-des-Ormeaux;11;171;349,7;1941;3969,4;5;n.p.;115;235,2
Dorval;< 5;31;* 163,3;588;3098;0;;67;353
Hampstead;0;18;* 258,1;293;4201,9;0;;< 5;n.p.
Kirkland;6;28;* 139;494;2451,5;< 5;n.p.;31;* 153,8
Lachine;17;158;355,1;2199;4942,8;0;;161;361,9
LaSalle;25;250;325,3;4066;5290,6;11;*14,3;227;295,4
L'Île-Bizard–Sainte-Geneviève;< 5;47;255,3;800;4344,8;< 5;n.p.;72;391
Mercier–Hochelaga-Maisonneuve;46;468;344,1;6514;4788,9;6;n.p.;419;308
Montréal Est;0;12;* 311,7;202;5246,8;< 5;n.p.;6;n.p.
Montréal-Nord;45;496;588,8;7124;8457,4;15;*17,8;314;372,8
Montréal-Ouest;0;< 5;n.p.;117;2316,8;0;;< 5;n.p.
Mont-Royal;< 5;46;226,9;850;4192,1;< 5;n.p.;91;448,8
Outremont;0;51;212,9;975;4070,3;0;;19;* 79,3
Pierrefonds–Roxboro;10;241;347,8;2872;4144,5;< 5;n.p.;76;109,7
Plateau Mont-Royal;15;182;175;3325;3197,1;11;*10,6;166;159,6
Pointe-Claire;6;36;* 114,7;783;2495,2;0;;48;153
Rivière-des-Prairies–Pointe-aux-Trembles;38;600;562,1;6783;6354,5;9;n.p.;296;277,3
Rosemont–La Petite Patrie;37;360;257,9;5451;3905;13;*9,3;305;218,5
Sainte-Anne-de-Bellevue;0;13;* 262,2;106;2138;0;;12;* 242
Saint-Laurent;29;520;526,2;5308;5370,9;< 5;n.p.;125;126,5
Saint-Léonard;37;519;662,8;5579;7124,7;8;n.p.;108;137,9
Senneville;0;< 5;n.p.;21;* 2280,1;0;;0;
Sud-Ouest;8;176;225,2;2968;3797,8;< 5;n.p.;199;254,6
Verdun;10;147;212,3;2340;3380,1;< 5;n.p.;183;264,3
Ville-Marie;8;237;265,8;3633;4074,2;< 5;n.p.;107;120
Villeray–Saint-Michel–Parc-Extension;53;709;492,9;8016;5572,4;13;*9;166;115,4
Westmount;< 5;53;260,9;584;2875,1;0;;54;265,9
Territoire à confirmer;10;84;;1602;;< 5;;23;
Total à Montréal;532;7310;353,9;96425;4668;138;6,7;4351;210,6
